source,attribute,2019,2020,2021,2022,2023,2024,2025,unit_description
usda_psd,Area Harvested,"2,700,000.00","2,800,000.00","3,000,000.00","3,000,000.00","3,200,000.00","3,200,000.00","3,200,000.00",ha
faostat,Area harvested,"3,809,946.00","3,891,929.00","4,087,000.00","4,323,296.00","4,520,090.00",,,ha
usda_psd,Beginning Stocks,"116,000.00","85,000.00","117,000.00","93,000.00","96,000.00","87,000.00","79,000.00",mt
usda_psd,Domestic Consumption,"1,590,000.00","1,650,000.00","1,715,000.00","1,790,000.00","1,840,000.00","1,890,000.00","1,940,000.00",mt
usda_psd,Ending Stocks,"85,000.00","117,000.00","93,000.00","96,000.00","87,000.00","79,000.00","71,000.00",mt
usda_psd,Exports,"18,000.00","18,000.00","18,000.00","18,000.00","18,000.00","18,000.00","18,000.00",mt
usda_psd,Feed Waste Dom. Cons.,0,0,0,0,0,0,0,mt
usda_psd,Food Use Dom. Cons.,"1,350,000.00","1,410,000.00","1,475,000.00","1,550,000.00","1,600,000.00","1,650,000.00","1,700,000.00",mt
usda_psd,Imports,"437,000.00","425,000.00","309,000.00","411,000.00","349,000.00","400,000.00","450,000.00",mt
usda_psd,Industrial Dom. Cons.,"240,000.00","240,000.00","240,000.00","240,000.00","240,000.00","240,000.00","240,000.00",mt
usda_psd,Production,"1,140,000.00","1,275,000.00","1,400,000.00","1,400,000.00","1,500,000.00","1,500,000.00","1,500,000.00",mt
faostat,Production,"9,790,903.37","10,000,000.00","10,500,000.00","11,100,000.00","11,597,872.39",,,mt
usda_psd,Total Distribution,"1,693,000.00","1,785,000.00","1,826,000.00","1,904,000.00","1,945,000.00","1,987,000.00","2,029,000.00",mt
usda_psd,Total Supply,"1,693,000.00","1,785,000.00","1,826,000.00","1,904,000.00","1,945,000.00","1,987,000.00","2,029,000.00",mt
usda_psd,Yield,0.42,0.46,0.47,0.47,0.47,0.47,0.47,mt/ha
faostat,Yield,2.83,2.83,2.83,2.83,2.83,,,mt/ha